numero_trame,temps_debut_s,temps_fin_s,duree_us,mac,rssi_dbm,canal,longueur_payload_octets,type_pdu,phy
7640,1784155340.927706003,1784155340.927841902,136.000,inconnue,-66,38,7,0x07,LE 1M
7641,1784155340.965643883,1784155340.965779781,136.000,inconnue,-64,39,7,0x07,LE 1M
7642,1784155340.998975039,1784155340.999247074,272.000,5c:52:b3:c2:63:e6,-83,37,24,0x00,LE 1M
7643,1784155341.028589010,1784155341.028861046,272.000,5c:72:e6:84:89:99,-74,38,24,0x00,LE 1M
7644,1784155341.029587984,1784155341.029860020,272.000,5c:6a:e6:84:89:d9,-82,39,24,0x00,LE 1M
7645,1784155341.030469894,1784155341.030733824,264.000,51:3a:c6:48:bc:0e,-83,37,23,0x00,LE 1M
7646,1784155341.086201906,1784155341.086337805,136.000,inconnue,-65,38,7,0x07,LE 1M
7647,1784155341.135169029,1784155341.135304928,136.000,inconnue,-65,39,7,0x07,LE 1M
7648,1784155341.173585892,1784155341.173865795,280.000,6b:64:f0:75:f7:1b,-83,37,25,0x00,LE 1M
7649,1784155341.198460102,1784155341.198596001,136.000,inconnue,-65,38,7,0x07,LE 1M
7650,1784155341.199692965,1784155341.199828863,136.000,inconnue,-64,39,7,0x07,LE 1M
7651,1784155341.201320887,1784155341.201592922,272.000,62:2a:01:6b:af:fc,-87,37,24,0x00,LE 1M
7652,1784155341.344583035,1784155341.344718933,136.000,inconnue,-64,38,7,0x07,LE 1M
7653,1784155341.367954016,1784155341.368089914,136.000,inconnue,-65,39,7,0x07,LE 1M
7654,1784155341.394023895,1784155341.394303799,280.000,6b:64:f0:75:f7:1b,-82,37,25,0x00,LE 1M
7655,1784155341.405384064,1784155341.405575991,192.000,c7:e2:06:27:ec:60,-75,38,14,0x01,LE 1M
7656,1784155341.487808943,1784155341.487944841,136.000,inconnue,-65,39,7,0x07,LE 1M
7657,1784155341.489412069,1784155341.489684105,272.000,5c:52:b3:c2:63:e6,-82,37,24,0x00,LE 1M
7658,1784155341.545706034,1784155341.545978069,272.000,58:2a:c6:84:b9:d9,-75,38,24,0x01,LE 1M
7659,1784155341.570044994,1784155341.570317030,272.000,5c:6a:e6:84:89:d9,-82,39,24,0x00,LE 1M
7660,1784155341.603445053,1784155341.603708982,264.000,inconnue,-87,37,23,0x08,LE 1M
7661,1784155341.642342091,1784155341.642477989,136.000,inconnue,-64,38,7,0x07,LE 1M
7662,1784155341.664545059,1784155341.664680958,136.000,inconnue,-65,39,7,0x07,LE 1M
7663,1784155341.700103045,1784155341.700382948,280.000,6b:64:f0:75:f7:1b,-82,37,25,0x00,LE 1M
7664,1784155341.757455111,1784155341.757591009,136.000,inconnue,-63,38,7,0x07,LE 1M
7665,1784155341.786609888,1784155341.786745787,136.000,inconnue,-66,39,7,0x07,LE 1M
7666,1784155341.819693089,1784155341.819885015,192.000,de:69:68:83:11:77,-68,37,14,0x02,LE 1M
7667,1784155341.901612997,1784155341.901748896,136.000,inconnue,-64,38,7,0x07,LE 1M
7668,1784155341.912276030,1784155341.912411928,136.000,inconnue,-65,39,7,0x07,LE 1M
7669,1784155341.935388088,1784155341.935667992,280.000,6b:64:f0:75:f7:1b,-84,37,25,0x00,LE 1M
7670,1784155342.022542953,1784155342.022678852,136.000,inconnue,-64,38,7,0x07,LE 1M
7671,1784155342.060239077,1784155342.060374975,136.000,inconnue,-66,39,7,0x07,LE 1M
7672,1784155342.093132973,1784155342.093405008,272.000,6a:2a:01:6b:af:fc,-88,37,24,0x00,LE 1M
7673,1784155342.127940893,1784155342.128212929,272.000,5c:6a:e6:84:89:d9,-75,38,24,0x00,LE 1M
7674,1784155342.137603045,1784155342.137875080,272.000,5c:6a:e6:84:89:d9,-84,39,24,0x00,LE 1M
7675,1784155342.169193983,1784155342.169450045,256.000,51:3a:c6:48:bc:0e,-87,37,22,0x00,LE 1M
7676,1784155342.196105957,1784155342.196241856,136.000,inconnue,-65,38,7,0x07,LE 1M
7677,1784155342.217818975,1784155342.217954874,136.000,inconnue,-66,39,7,0x07,LE 1M
7678,1784155342.250089884,1784155342.250369787,280.000,6b:64:f0:75:f7:1b,-87,37,25,0x00,LE 1M
7679,1784155342.295087099,1784155342.295222998,136.000,inconnue,-64,38,7,0x07,LE 1M
7680,1784155342.334801912,1784155342.334977865,176.000,62:2a:01:6b:af:fc,-56,39,12,0x03,LE 1M
7681,1784155342.366868019,1784155342.367140055,272.000,5c:52:b3:c2:63:e6,-82,37,24,0x00,LE 1M
7682,1784155342.424666882,1784155342.424802780,136.000,inconnue,-63,38,7,0x07,LE 1M
7683,1784155342.451690912,1784155342.451826811,136.000,inconnue,-65,39,7,0x07,LE 1M
7684,1784155342.485841990,1784155342.486121893,280.000,7f:b2:49:48:45:e3,-89,37,25,0x00,LE 1M
7685,1784155342.552845955,1784155342.552981853,136.000,inconnue,-65,38,7,0x07,LE 1M
7686,1784155342.569647074,1784155342.569782972,136.000,inconnue,-65,39,7,0x07,LE 1M
7687,1784155342.613212109,1784155342.613484144,272.000,62:2a:01:6b:af:fc,-89,37,24,0x00,LE 1M
7688,1784155342.630798101,1784155342.631070137,272.000,62:1a:21:2b:af:fc,-96,38,24,0x00,LE 1M
7689,1784155342.662740946,1784155342.663012981,272.000,5c:52:b3:c2:63:e6,-89,39,24,0x00,LE 1M
