temps_s,numero_paquet,taille_message,message,source,rssi_dbm,puissance_w,energie_j
514.014,457,136,"PAQUET,459,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.015837092382847e-10
515.021,458,36,"PAQUET,460,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.354287838673558e-10
516.021,459,56,"PAQUET,461,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.011814979945624e-10
517.025,460,77,"PAQUET,462,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.335747100399179e-10
518.021,461,115,"PAQUET,463,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,4.991715172070839e-10
519.023,462,136,"PAQUET,464,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.024846815429983e-10
520.021,463,36,"PAQUET,465,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-63,5.011872336272714e-10,4.998356556778529e-10
521.024,464,56,"PAQUET,466,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.026173180493951e-10
522.025,465,77,"PAQUET,467,TAILLE,56,TU RECOIS MON MESSAGe TEMPO_Projet_Dosimetre_WiFi_2_4GHz","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.321531280789208e-10
523.027,466,115,"PAQUET,468,TAILLE,94,MSG_4_TRES_LONG_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-64,3.9810717055349694e-10,3.9882302812612746e-10
524.031,467,136,"PAQUET,469,TAILLE,114,MSG_5_MAX_ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZ","('192.168.10.72', 2390)",-62,6.309573444801942e-10,6.333001717246988e-10
525.03,468,36,"PAQUET,470,TAILLE,15,Bonjour famille","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.007314898115979e-10
526.028,469,56,"PAQUET,471,TAILLE,35,JE VIENS DE CONNECTER PAR RAPSBERRY","('192.168.10.72', 2390)",-63,5.011872336272714e-10,5.0036369236413e-10
